model_name,provider,intelligence_idx,cost_usd_1m,speed_tok_s,latency_s,avg_score,accuracy,cost_efficiency,speed_efficiency
Gemma 3 4B,Google,6.0,0.0,40,0.94,,6.0,6000000000.0,42.553191444092356
Gemma 3n E4B,Google,6.0,0.03,59,0.38,,6.0,199.99999333333358,155.26315748614957
Qwen3 0.6B,Alibaba,6.0,0.19,188,0.89,,6.0,31.578947202216067,211.235954818836
Granite 4.0 H 350M,IBM,6.0,0.0,0,0.0,,6.0,6000000000.0,0.0
DeepSeek-OCR,DeepSeek,,0.05,322,0.41,,20.0,399.99999200000013,785.3658517430101
Grok Voice Agent,xAI,,0.0,0,0.0,,20.0,20000000000.0,0.0
Olmo 3.1 32B Think,Allen Institute for AI,,0.0,60,0.54,,20.0,20000000000.0,111.11111090534979
Cogito v2.1,Deep Cogito,,1.25,74,0.38,,20.0,15.999999987199999,194.73684159279776
Mi:dm K 2.5 Pro Preview,Korea Telecom,,0.0,0,0.0,,20.0,20000000000.0,0.0
Doubao-Seed-1.8,ByteDance Seed,,0.15,0,0.0,,20.0,133.33333244444447,0.0
